상품명,3차 카테고리.1,식품유형,용도,추가방향,중량 수치,묶음수량,총중량,10g당 가격,Unnamed: 13,중량 수치.1,중량 단위,수량,수량 단위,가격,평점,리뷰 수,Unnamed: 21,Unnamed: 22,상품명.1
동원 양반 밤단팥죽 285g,죽/스프,,,,,,,,,285,g,,,2200,4.9,54,,,[사조] 마일드참치(안심따개) 150g X 1캔 /참치캔/통조림
동원 미니파인애플 234g x 24캔(1박스),과일/옥수수/팥,,,,,,,,,234,g,24,캔,37000,5,53,,,[사조] 찌개참치(안심따개) 100g X 1캔 /참치캔/통조림
동원 양반 전복죽 420g,죽/스프,,,,,,,,,420,g,,,3400,4.9,53,,,[사조] 야채참치(안심따개) 100g X 1캔 /참치캔/통조림
동원참치 콘참치 85g x 10캔,참치/연어통조림,,,,,,,,,85,g,10,캔,16600,5,52,,,[사조] 마일드참치 250g X 12캔 /참치캔/통조림
동원 꽁치 230g x 6캔,고등어/꽁치통조림,,,,,,,,,230,g,6,캔,18600,4.9,52,,,[사조] 마일드참치 250g X 6캔 /참치캔/통조림
동원 양반 수라 한우사골설렁탕 460g (1~2인분) x 3개,국/탕/찌개,,,,,,,,,460,g,,,15000,4.9,50,,,[사조] 야채참치(안심따개) 150g X 24캔 /참치캔/통조림
동원 양반 버섯 야채죽 420g x 4개,죽/스프,,,,,,,,,420,g,4,개,10900,4.9,50,,,[사조] 야채참치(안심따개) 150g X 10캔 /참치캔/통조림
동원 양반 수라 차돌육개장 460g (1~2인분) x 3개,국/탕/찌개,,,,,,,,,460,g,,,15000,4.9,49,,,[사조] 야채참치(안심따개) 150g X 6캔 /참치캔/통조림
동원 양반 백합죽 420g x 10개,죽/스프,,,,,,,,,420,g,10,개,23900,5,49,,,[사조] 마일드참치(안심따개) 150g X 10캔 /참치캔/통조림
동원참치 매운고추참치 150g,참치/연어통조림,,,,,,,,,150,g,,,2800,5,48,,,[사조] 고추참치(안심따개) 150g X 6캔 /참치캔/통조림
동원 양반 야채죽 287g,죽/스프,,,,,,,,,287,g,,,2100,4.9,48,,,[사조] 살코기플러스참치(안심따개) 150g X 48캔 /참치캔/통조림
동원 초밥의달인 큰사각유부초밥 378g x 2개,아이반찬,,,,,,,,,378,g,2,개,11900,5,48,,,[사조] 살코기플러스참치(안심따개) 150g X 12캔 /참치캔/통조림
동원참치 고추참치 250g x 20캔,참치/연어통조림,,,,,,,,,250,g,20,캔,66000,5,47,,,[사조] 살코기플러스참치(안심따개) 150g X 10캔 /참치캔/통조림
동원참치 맛참 매콤참기름 90g x 20캔,참치/연어통조림,,,,,,,,,90,g,20,캔,37000,4.9,47,,,[사조] 살코기참치(안심따개) 150g X 48캔 /참치캔/통조림
[4%적립금] 동원 복숭아 백도 400g x 24개(1박스),과일/옥수수/팥,,,,,,,,,400,g,24,개,48000,5,47,,,[사조] 살코기참치(안심따개) 150g X 24캔 /참치캔/통조림
동원참치 김치찌개용 150g x 5캔,참치/연어통조림,,,,,,,,,150,g,5,캔,13500,5,46,,,[사조] 찌개참치(안심따개) 100g X 6캔 /참치캔/통조림
동원 고등어 400g x 5캔,고등어/꽁치통조림,,,,,,,,,400,g,5,캔,12000,4.8,46,,,[사조] 야채참치(안심따개) 100g X 48캔 /참치캔/통조림
동원 고등어 300g x 5캔,고등어/꽁치통조림,,,,,,,,,300,g,5,캔,11500,4.9,46,,,[사조] 야채참치(안심따개) 100g X 10캔 /참치캔/통조림
[특가] 동원 자연산왕골뱅이 400g x 4캔,골뱅이/수산통조림,,,,,,,,,400,g,4,캔,33400,4.9,46,,,[사조] 야채참치(안심따개) 100g X 6캔 /참치캔/통조림
동원 양반 참치죽 285g x 4개,죽/스프,,,,,,,,,285,g,4,개,7200,4.8,46,,,[사조] 마일드참치(안심따개) 100g X 48캔 /참치캔/통조림
동원참치 김치찌개용 150g x 3캔,참치/연어통조림,,,,,,,,,150,g,3,캔,8200,5,45,,,[사조] 살코기플러스참치(안심따개) 100g X 24캔 /참치캔/통조림
동원참치 동원맛참 고소참기름 135g x 10캔,참치/연어통조림,,,,,,,,,135,g,10,캔,25000,5,45,,,[사조] 살코기플러스참치(안심따개) 100g X 10캔 /참치캔/통조림
동원 지중해 황도 복숭아 820g,과일/옥수수/팥,,,,,,,,,820,g,,,3700,4.9,45,,,[사조] 살코기참치(안심따개) 100g X 48캔 /참치캔/통조림
동원 양반 밤단팥죽 420g,죽/스프,,,,,,,,,420,g,,,3200,4.9,45,,,[사조] 살코기참치(안심따개) 100g X 10캔 /참치캔/통조림
동원참치 뽀로로 키즈 100g x 10캔,참치/연어통조림,,,,,,,,,100,g,10,캔,21000,4.9,44,,,[사조] 고추참치(안심따개) 85g X 12캔 /참치캔/통조림
동원 복숭아 백도 400g x 3캔,과일/옥수수/팥,,,,,,,,,400,g,3,캔,8400,4.8,44,,,[사조] 마일드참치(안심따개) 85g X 24캔 /참치캔/통조림
동원 양반 캔김치 160g x 10캔,반찬/기타통조림,,,,,,,,,160,g,10,캔,18500,4.6,44,,,[사조] 마일드참치(안심따개) 85g X 48캔 /참치캔/통조림
동원 양반 수라 부대찌개 460g (1~2인분) x 5개,국/탕/찌개,,,,,,,,,460,g,,,24000,4.8,44,,,[사조] 살코기참치(안심따개) 85g X 24캔 /참치캔/통조림
동원 떡볶이의신 고소한치즈 컵떡볶이 160g,떡볶이/떡류,,,,,,,,,160,g,,,2700,4.7,42,,,[동원] 양반 100밥 현미밥 130g x 24개 + 동원맛참 고소참기름 135g x 6캔
동원참치 매운고추참치 150g x 3캔,참치/연어통조림,,,,,,,,,150,g,3,캔,8200,5,41,,,동원맛참 마요참기름 135gX5캔
동원 양반 진국 소고기무국 460g (1~2인분) x 3개,국/탕/찌개,,,,,,,,,460,g,,,12000,4.7,41,,,[동원] 동원참치뱃살 깊은 간장맛 135g
동원 양반 백합우거지된장국 460g (1~2인분),국/탕/찌개,,,,,,,,,460,g,,,4300,4.8,41,,,[동원] 동원 참치뱃살 깊은간장맛 135gx3캔
동원 양반 백합 미역국 460g (1~2인분) x 5개,국/탕/찌개,,,,,,,,,460,g,,,19300,4.8,41,,,라이트스탠다드 참치 100gx13캔 + 고추참치 100g x12캔
동원 꽁치 230g x 3캔,고등어/꽁치통조림,,,,,,,,,230,g,3,캔,9900,4.9,40,,,[2%적립금] 동원 살코기 참치 라이트스탠다드 3kg
동원 양반 진국 사골곰탕 300g (1인분) x 20개,국/탕/찌개,,,,,,,,,300,g,,,22900,4.9,40,,,[4%적립금] 동원 고추참치(덕용) 1880gx6개 ( 박스 )
[1+1] 동원 참치액 진 900g,고춧가루/액젓,,,,,,,,,900,g,,,12980,4.9,40,,,[2%적립금] 동원 고추참치(덕용) 1880g
동원참치 DHA 150g x 10캔,참치/연어통조림,,,,,,,,,150,g,10,캔,27000,4.8,39,,,동원참치 살코기 라이트스탠다드 90gx20캔
동원참치 매운고추참치 150g x 5캔,참치/연어통조림,,,,,,,,,150,g,5,캔,13500,5,39,,,동원참치 살코기 라이트스탠다드 90gx10캔
동원 자연산골뱅이 230g x 10캔,골뱅이/수산통조림,,,,,,,,,230,g,10,캔,52800,5,39,,,동원 고추참치 90g x 10캔
동원 양반 캔볶음김치 160g x 5캔,반찬/기타통조림,,,,,,,,,160,g,5,캔,9500,4.9,39,,,[4%적립금] 동원참치 뽀로로 키즈 100g x 60개(1박스)
동원 양반 전통잣죽 285g x 4개,죽/스프,,,,,,,,,285,g,4,개,8600,4.8,39,,,동원 마일드참치 150gx20캔
동원 마일드참치 150g,참치/연어통조림,,,,,,,,,150,g,,,2800,4.9,38,,,[사조] 프리미엄 통살참치 마라 100g X 8캔
동원참치 DHA 250g,참치/연어통조림,,,,,,,,,250,g,,,3900,4.9,38,,,[사조] 프리미엄 통살참치 황다랑어 100g X 8캔
동원참치 고추참치 250g x 5캔,참치/연어통조림,,,,,,,,,250,g,5,캔,17800,5,38,,,[사조] 생생참치 오리지널 115g X 6캔
동원 지중해 황도 복숭아 820g x 12캔(1박스),과일/옥수수/팥,,,,,,,,,820,g,12,캔,42000,4.9,38,,,[사조] 사조참치 간장버터 참치(안심따개) 100g X 1캔 /참치캔/통조림
동원 양반 백합우거지된장국 460g (1~2인분) x 5개,국/탕/찌개,,,,,,,,,460,g,,,19300,4.7,38,,,[사조] 사조참치 고추할라피뇨 참치(안심따개) 100g X 1캔 /참치캔/통조림
[1+1] 동원 참치액 진 500g,고춧가루/액젓,,,,,,,,,500,g,,,7980,5,38,,,[사조] 사조참치 짜장 참치(안심따개) 100g X 1캔 /참치캔/통조림
동원참치 김치찌개용 250g x 3캔,참치/연어통조림,,,,,,,,,250,g,3,캔,11550,4.9,37,,,[사조] 사조참치 고추할라피뇨 참치(안심따개) 100g X 10캔 /참치캔/통조림
동원참치 김치찌개용 250g x 20캔,참치/연어통조림,,,,,,,,,250,g,20,캔,65990,4.9,37,,,[사조] 사조참치 짜장 참치(안심따개) 100g X 6캔 /참치캔/통조림
동원 번데기 130gx3캔,골뱅이/수산통조림,,,,,,,,,130,g,3,캔,4200,4.9,37,,,[사조] 사조참치 짜장 참치(안심따개) 100g X 10캔 /참치캔/통조림
동원 리챔 340g x 3캔,햄/닭가슴살,,,,,,,,,340,g,3,캔,12900,5,37,,,[사조] 사조참치 짜장 참치(안심따개) 100g X 12캔 /참치캔/통조림
동원 양반 수라 한우사골설렁탕 460g (1~2인분),국/탕/찌개,,,,,,,,,460,g,,,5500,4.8,37,,,[사조] 사조참치 짜장 참치(안심따개) 100g X 24캔 /참치캔/통조림
동원 양반 백합죽 420g x 4개,죽/스프,,,,,,,,,420,g,4,개,11900,5,37,,,[사조] 사조참치 짜장 참치(안심따개) 100g X 48캔 /참치캔/통조림
[4%적립금] 동원참치 라이트스탠다드 250g x 36개(1박스),참치/연어통조림,,,,,,,,,250,g,36,개,115000,4.9,36,,,[사조] 살코기참치(안심따개) 100g X 1캔 /참치캔/통조림
동원 리챔 더블라이트 120g x 20캔,햄/닭가슴살,,,,,,,,,120,g,20,캔,38000,4.9,36,,,[사조] 찌개참치(안심따개) 85g X 1캔 /참치캔/통조림
동원 떡볶이의신 매콤달콤 컵떡볶이 160g,떡볶이/떡류,,,,,,,,,160,g,,,2700,5,36,,,[사조] 마일드참치(안심따개) 85g X 1캔 /참치캔/통조림
동원 양반 버섯 야채죽 420g,죽/스프,,,,,,,,,420,g,,,3200,4.9,36,,,[사조] 마일드참치 250g X 10캔 /참치캔/통조림
동원참치 동원맛참 매콤참기름 135g,참치/연어통조림,,,,,,,,,135,g,,,2500,5,35,,,[사조] 마일드참치 250g X 3캔 /참치캔/통조림
동원 양반 참치죽 287g x 12개,죽/스프,,,,,,,,,287,g,12,개,19900,5,35,,,[사조] 살코기참치 250g X 10캔 /참치캔/통조림
동원참치 김치찌개용 150g,참치/연어통조림,,,,,,,,,150,g,,,2800,4.9,34,,,[사조] 마일드 참치 (안심 따개) 150g X 48캔 / 참치캔 / 통조림
동원 미니파인애플 234g x 3캔,과일/옥수수/팥,,,,,,,,,234,g,3,캔,5700,4.9,34,,,[사조] 마일드참치(안심따개) 150g X 24캔 /참치캔/통조림
동원 양반 전복죽 420g x 20개,죽/스프,,,,,,,,,420,g,20,개,51000,4.9,34,,,[사조] 고추참치(안심따개) 150g X 24캔 /참치캔/통조림
동원 초밥의달인 롤유부초밥(고소한맛) 254g,아이반찬,,,,,,,,,254,g,,,5200,4.8,34,,,[사조] 고추참치(안심따개) 150g X 10캔 /참치캔/통조림
동원홈푸드 비비드키친 저칼로리비빔장 280g,기타양념,,,,,,,,,280,g,,,3980,4.9,34,,,[사조] 살코기참치(안심따개) 150g X 10캔 /참치캔/통조림
[1+1]동원 하루미 국물의신 멸치링 80g (20정),분말/액상조미료,,,,,,,,,80,g,,,9980,5,34,,,[사조] 살코기참치(안심따개) 150g X 6캔 /참치캔/통조림
동원 자연산꽁치 400g x 9캔,고등어/꽁치통조림,,,,,,,,,400,g,9,캔,35100,4.9,33,,,[사조] 야채참치(안심따개) 100g X 24캔 /참치캔/통조림
동원 화끈한골뱅이 140g x 10캔,골뱅이/수산통조림,,,,,,,,,140,g,10,캔,32800,4.8,33,,,[사조] 야채참치(안심따개) 100g X 12캔 /참치캔/통조림
동원 자연산골뱅이 300g x 5캔,골뱅이/수산통조림,,,,,,,,,300,g,5,캔,33400,4.8,33,,,[사조] 마일드참치(안심따개) 100g X 6캔 /참치캔/통조림
동원 런천미트 200g,햄/닭가슴살,,,,,,,,,200,g,,,2500,5,33,,,[사조] 고추참치(안심따개) 100g X 48캔 /참치캔/통조림
동원 양반 수라 차돌육개장 460g (1~2인분),국/탕/찌개,,,,,,,,,460,g,,,5500,4.7,33,,,[사조] 고추참치(안심따개) 100g X 12캔 /참치캔/통조림
동원 떡볶이의신 매콤달콤 컵떡볶이 160g x 5개,떡볶이/떡류,,,,,,,,,160,g,5,개,12500,4.7,33,,,[사조] 살코기플러스참치(안심따개) 100g X 48캔 /참치캔/통조림
동원 양반 캔볶음김치 160g x 20캔,반찬/기타통조림,,,,,,,,,160,g,20,캔,36600,5,32,,,[사조] 살코기참치(안심따개) 100g X 24캔 /참치캔/통조림
동원 한입골뱅이 400g x 10캔,골뱅이/수산통조림,,,,,,,,,400,g,10,캔,84800,5,31,,,[사조] 고추참치(안심따개) 85g X 48캔 /참치캔/통조림
동원 떡볶이의신 짜장떡볶이 385g (2인분),떡볶이/떡류,,,,,,,,,385,g,,,4980,4.7,31,,,[사조] 마일드참치(안심따개) 85g X 12캔 /참치캔/통조림
동원 양반 야채죽 287g x 12개,죽/스프,,,,,,,,,287,g,12,개,19900,5,31,,,[사조대림] 안심특선 V63호
동원참치 DHA 150g,참치/연어통조림,,,,,,,,,150,g,,,2800,5,30,,,동원 자연산꽁치 400g x 5캔
동원참치 김치찌개용 150g x 20캔,참치/연어통조림,,,,,,,,,150,g,20,캔,50000,5,30,,,동원 고등어 400g x 9캔
동원 자연산골뱅이 230g x 3캔,골뱅이/수산통조림,,,,,,,,,230,g,3,캔,17940,5,30,,,동원 고등어 400g x 12캔
동원 저스트 노슈가 황도 슬라이스 400g,과일/옥수수/팥,,,,,,,,,400,g,,,2580,4.6,30,,,동원 자연산꽁치 400g x 6캔
동원참치 맛참 고소참기름 135gx10캔 + (증정)라이트스탠다드 참치 135gx2캔,참치/연어통조림,,,,,,,,,"135, 135","g, g","10, 2","캔, 캔",25000,4.9,29,,,동원 고등어 400g x 6캔
동원 김치찌개용 꽁치 300g x 3캔,고등어/꽁치통조림,,,,,,,,,300,g,3,캔,12600,4.7,29,,,[4%적립금] 동원 고등어 400g x 24개(1박스)
동원 화끈한 골뱅이 400g,골뱅이/수산통조림,,,,,,,,,400,g,,,9280,4.9,29,,,동원 고등어 400g x 3캔
동원 양반 나주식 곰탕 460g (1~2인분) x 20개,국/탕/찌개,,,,,,,,,460,g,,,38000,5,29,,,동원 꽁치 230g x 6캔
동원 양반 들깨닭죽 420g x 10개,죽/스프,,,,,,,,,420,g,10,개,28900,4.9,29,,,동원 고등어 400g x 5캔
동원 양반 들깨닭죽 420g,죽/스프,,,,,,,,,420,g,,,3400,4.7,29,,,동원 고등어 300g x 5캔
동원참치 살코기135gx8캔 + 맛참 고소참기름 135gx4캔,참치/연어통조림,,,,,,,,,"135, 135","g, g","8, 4","캔, 캔",26400,4.8,28,,,동원 김치찌개용 꽁치 300g x 6캔
동원참치 고추참치 250g x 3캔,참치/연어통조림,,,,,,,,,250,g,3,캔,10800,4.9,28,,,동원 꽁치 230g x 12캔
[동원선물세트] 참치 T12호,참치/연어통조림,,,,,,,,,,,,,36900,5,28,,,동원 자연산꽁치 300g
동원참치 DHA 250g x 15캔,참치/연어통조림,,,,,,,,,250,g,15,캔,49500,5,28,,,동원 자연산꽁치 300g x 6캔
동원참치 맛참 매콤참기름 135gx10캔 + (증정)라이트스탠다드 참치 135gx2캔,참치/연어통조림,,,,,,,,,"135, 135","g, g","10, 2","캔, 캔",25000,4.8,28,,,동원 김치찌개용 꽁치 300g x 12캔
동원참치 동원맛참 매콤참기름 135g x 10캔,참치/연어통조림,,,,,,,,,135,g,10,캔,25000,4.9,28,,,동원 김치찌개용 꽁치 300g x 9캔
[참치24캔] 동원참치 살코기 85gx12캔+고추참치 100gx12캔,참치/연어통조림,,,,,,,,,"85, 100","g, g","12, 12","캔, 캔",30000,5,28,,,동원 자연산꽁치 300g x 9캔
동원 꽁치 230g,고등어/꽁치통조림,,,,,,,,,230,g,,,4000,4.9,28,,,[4%적립금] 동원 꽁치 1.8kg x 6개(1박스)
동원 저스트 노슈가 파인애플 425g,과일/옥수수/팥,,,,,,,,,425,g,,,2980,4.8,28,,,동원 김치찌개용 꽁치 300g
동원 양반 진국 사골곰탕 500g (1~2인분) x 3개,국/탕/찌개,,,,,,,,,500,g,,,4450,5,28,,,[2%적립금] 동원 꽁치 1880g
동원 양반 참치죽 287g,죽/스프,,,,,,,,,287,g,,,2100,5,28,,,동원 자연산골뱅이 230g x 5캔
[전통소스 강자] 비비드키친 저칼로리 토마토케첩 280g+머스타드소스 280g+바베큐소스 280g,기타양념,,,,,,,,,"280, 280, 280","g, g, g",", , ",", , ",9900,5,28,,,[4%적립금] 동원 자연산골뱅이 300g x 24개(1박스)
동원참치 콘참치 85g,참치/연어통조림,,,,,,,,,85,g,,,1800,5,27,,,동원 자연산골뱅이 매실청 140g x 10캔
동원 런천미트 340g,햄/닭가슴살,,,,,,,,,340,g,,,3500,4.9,27,,,동원 자연산골뱅이 230g x 10캔
동원 떡볶이의신 더매운 컵떡볶이 160g,떡볶이/떡류,,,,,,,,,160,g,,,2700,4.7,27,,,[4%적립금] 동원 자연산왕골뱅이 400g x 24개(1박스)
동원참치 매운고추참치 150g x 20캔,참치/연어통조림,,,,,,,,,150,g,20,캔,50000,5,26,,,동원 화끈한 골뱅이 400g
동원 화끈한골뱅이 140g,골뱅이/수산통조림,,,,,,,,,140,g,,,3300,4.9,26,,,동원 한입골뱅이 400g x 10캔
동원 자연산왕골뱅이 400g x 5캔,골뱅이/수산통조림,,,,,,,,,400,g,5,캔,43900,5,26,,,동원 화끈한골뱅이 140g
동원참치 포도씨유 150g,참치/연어통조림,,,,,,,,,150,g,,,2800,4.9,25,,,동원 자연산골뱅이 300g x 5캔
동원참치 루피는 참치마요 100g x 10캔,참치/연어통조림,,,,,,,,,100,g,10,캔,20000,4.9,25,,,동원 자연산골뱅이 300g x 3캔
동원 자연산왕골뱅이 400g x 10캔,골뱅이/수산통조림,,,,,,,,,400,g,10,캔,84800,5,25,,,동원 한입 골뱅이 400g x 5캔
동원 양반 진국사골곰탕 300g (1인분),국/탕/찌개,,,,,,,,,300,g,,,1500,5,25,,,동원 화끈한골뱅이 140g x 5캔
동원참치 라이트스탠다드 85g x 15캔+150g x 5캔,참치/연어통조림,,,,,,,,,"85, 150","g, g","15, 5","캔, 캔",35000,5,24,,,동원 을지로골뱅이 & 진미채 300g x 10캔 / 특제간장소스
동원맛참 마요참기름 135gX5캔,참치/연어통조림,,,,,,,,,135,g,5,캔,12000,4.9,24,,,동원 번데기 130gx24캔(1/2박스)
[4%적립금] 동원 자연산골뱅이 230g x 24캔(1박스),골뱅이/수산통조림,,,,,,,,,230,g,24,캔,109000,5,24,,,동원 자연산골뱅이 매실청 140g
동원 리챔 더블라이트 200g x 3캔,햄/닭가슴살,,,,,,,,,200,g,3,캔,8900,4.9,24,,,동원 한입골뱅이 400g x 2캔
동원 양반 수라 도가니설렁탕 460g (1~2인분) x 3개,국/탕/찌개,,,,,,,,,460,g,,,14600,4.9,24,,,동원 자연산골뱅이 400g x 2캔
[1+1] 동원 프리미엄 동원참치액 900g,고춧가루/액젓,,,,,,,,,900,g,,,22980,5,24,,,동원 화끈한골뱅이 140g x 3캔
동원참치 DHA 150g x 5캔,참치/연어통조림,,,,,,,,,150,g,5,캔,13500,5,23,,,동원 을지로골뱅이 & 진미채 300g x 5캔 / 특제간장소스
동원참치 야채참치 150g x 20캔,참치/연어통조림,,,,,,,,,150,g,20,캔,50000,5,23,,,동원 을지로골뱅이 & 진미채 300g x 2캔 / 특제간장소스
동원참치 동원맛참 고소참기름 135g,참치/연어통조림,,,,,,,,,135,g,,,2500,4.9,23,,,동원 자연산골뱅이탕(얼큰한국물) 300g x 3캔
동원 양반 쇠고기죽 420g x 20개,죽/스프,,,,,,,,,420,g,20,개,46900,5,23,,,동원 자연산왕골뱅이 400g x 3캔
동원 초밥의달인 롤유부초밥(새콤한맛) 254g,아이반찬,,,,,,,,,254,g,,,5200,4.8,23,,,[4%적립금] 동원 화끈한골뱅이 400g x 24개(1박스)
[4%적립금] 동원참치 DHA 250g x 36개(1박스),참치/연어통조림,,,,,,,,,250,g,36,개,115000,5,22,,,동원 을지로 골뱅이 & 구운아귀채 300g x 5캔 / 참치액소스
동원참치 카레참치 90g,참치/연어통조림,,,,,,,,,90,g,,,2000,5,22,,,동원 을지로 골뱅이 & 구운아귀채 300g x 3캔 / 참치액소스
동원 한입골뱅이 400g,골뱅이/수산통조림,,,,,,,,,400,g,,,9280,4.9,22,,,동원 을지로 골뱅이 & 구운아귀채 300g x 2캔 / 참치액소스
[10%적립]동원 리챔 순닭가슴살 135g x 16개,햄/닭가슴살,,,,,,,,,135,g,16,개,33900,4.9,22,,,동원 을지로 골뱅이 & 구운아귀채 300g x 10캔 / 참치액소스
동원 양반 수라 통다리 삼계탕 460g (1~2인분),국/탕/찌개,,,,,,,,,460,g,,,5980,5,22,,,[사조] 고등어 300g X 1캔
동원 양반 전복죽 420g+쇠고기죽 420g+밤단팥죽 420g 2개씩 총 6개,죽/스프,,,,,,,,,"420, 420, 420","g, g, g",", , 2",", , 개",20900,4.7,22,,,알마스 캐비아 벨루가 15g x 3 국내산 캐비어 양식 철갑상어알 프리미엄 선물세트
동원 양반 참치죽 420g,죽/스프,,,,,,,,,420,g,,,3200,4.8,22,,,동원 화끈한 골뱅이 400gx2캔
동원홈푸드 비비드키친 저당 쌈장소스 300g,간장/고추장/된장/쌈장,,,,,,,,,300,g,,,5480,5,22,,,동원 자연산왕골뱅이 400g
동원참치 루피는 참치마요 100g x 3캔,참치/연어통조림,,,,,,,,,100,g,3,캔,5300,5,21,,,동원 리챔 340g
"동원참치 맛참 매콤참기름 90gx10개 + 135gx4개, 총 14캔",참치/연어통조림,,,,,,,,,"90, 135","g, g","10, 4","개, 개",25000,4.9,21,,,동원 리챔 340g x 12캔
동원 고등어 300g,고등어/꽁치통조림,,,,,,,,,300,g,,,2800,4.9,21,,,[4%적립금] 동원 리챔 순닭가슴살 135g x 48개(1박스)
동원 을지로골뱅이 & 진미채 300g / 특제간장소스,골뱅이/수산통조림,,,,,,,,,300,g,,,6980,5,21,,,동원 리챔 340g x 9캔
동원 자연산골뱅이 300g x 3캔,골뱅이/수산통조림,,,,,,,,,300,g,3,캔,19800,4.9,21,,,동원 리챔 200g x 3캔
동원 Dole 후르츠칵테일 432g x 12캔(1/2박스),과일/옥수수/팥,,,,,,,,,432,g,12,캔,30000,4.8,21,,,동원 리챔 순닭가슴살 135g x 24개(1/2박스)
동원 저스트 노슈가 스위트콘 340g x 6캔,과일/옥수수/팥,,,,,,,,,340,g,6,캔,10200,4.8,21,,,동원 리챔 340g x 3캔
동원 양반 보양 삼계탕 900g (1~2인분) x 5개,국/탕/찌개,,,,,,,,,900,g,,,45500,5,21,,,동원 런천미트 200g
동원 양반 한우사골시래기국 460g (1~2인분) x 5개,국/탕/찌개,,,,,,,,,460,g,,,19300,4.8,21,,,동원 리챔 더블라이트 120g x 20캔
동원참치 마일드참치 200g,참치/연어통조림,,,,,,,,,200,g,,,3200,4.9,20,,,동원 리챔 순살꼬꼬 200g x 12개 / 닭가슴살햄
"동원참치 맛참 고소참기름 90gx10개 + 135gx4개, 총 14캔",참치/연어통조림,,,,,,,,,"90, 135","g, g","10, 4","개, 개",25000,4.9,19,,,동원 리챔 340g x 6캔
동원 번데기 130g,골뱅이/수산통조림,,,,,,,,,130,g,,,1480,4.9,19,,,동원 리챔 더블라이트 120g x 6캔
동원 Dole 파인애플 432g x 3캔,과일/옥수수/팥,,,,,,,,,432,g,3,캔,8100,4.7,19,,,동원 리챔 더블라이트 200g
동원 새콤달콤 도톰쫄깃 삼각유부초밥 340g(4인용) x 2개,아이반찬,,,,,,,,,340,g,,,8900,4.9,19,,,동원 리챔 순닭가슴살 135g x 8개
동원참치 고추참치 250g,참치/연어통조림,,,,,,,,,250,g,,,3700,4.8,18,,,동원 리챔 200g x 9캔
동원참치 튜나페 고소마요 129g(스프레드 100g+아이비 29g) x 5개,참치/연어통조림,,,,,,,,,"129, 100, 29","g, g, g",", , ",", , ",16400,4.8,18,,,동원 런천미트 340g x 4캔
"[체험팩] 동원참치 가미참치 90g 3종(불/짜장/카레) 각 3개, 총 9개",참치/연어통조림,,,,,,,,,90,g,3,,15600,5,18,,,동원 리챔 더블라이트 300g x 6캔
동원참치 불참치 90g,참치/연어통조림,,,,,,,,,90,g,,,2380,4.9,18,,,동원 리챔 순살꼬꼬 200g x 6개 / 닭가슴살햄
동원참치 야채참치 90gx10캔,참치/연어통조림,,,,,,,,,90,g,10,캔,20000,5,18,,,동원 리챔 더블라이트 300g x 3캔
양반 나주식 곰탕 460g (1~2인분) x 3개,국/탕/찌개,,,,,,,,,460,g,,,6450,4.9,18,,,동원 리챔 순살꼬꼬 200g / 닭가슴살햄
동원 양반 영양닭죽 285g,죽/스프,,,,,,,,,285,g,,,2200,4.9,18,,,스팸 클래식 200g 3입(노캡형) x2개(총 6개)
[동원선물세트] 진호,참치/연어통조림,,,,,,,,,,,,,80300,4.9,17,,,스팸 클래식 340g x10개+스팸 클래식 200g x10개
동원 자연산꽁치 300g x 3캔,고등어/꽁치통조림,,,,,,,,,300,g,3,캔,11300,4.9,17,,,스팸 클래식 340g x12개+라이트 340g x7개+닭가슴살 340g x1개
동원 한입 골뱅이 400g x 5캔,골뱅이/수산통조림,,,,,,,,,400,g,5,캔,47900,4.9,17,,,스팸 클래식 200g x12개+라이트 200g x7개+닭가슴살 200g x1개
동원 양반 캔김치 160g x 20캔,반찬/기타통조림,,,,,,,,,160,g,20,캔,36600,5,17,,,스팸 클래식 200g x5개+라이트 200g x5개+닭가슴살 200g x1개
동원 떡볶이의신 우리쌀 국물떡볶이 422g(2인) x 2개,떡볶이/떡류,,,,,,,,,422,g,,,8900,4.8,17,,,스팸 클래식 200g x5개+라이트 200g x4개+닭가슴살 200g x1개
동원 양반 백합죽 420g,죽/스프,,,,,,,,,420,g,,,3300,4.8,17,,,[사조대림] 닭가슴살 직화그릴 핫바 오리지널 700G X 2개 (20개입)
동원참치 DHA 150g x 20캔,참치/연어통조림,,,,,,,,,150,g,20,캔,50000,4.9,16,,,한성 본햄 200g 10개 국내산 돼지고기 캔 햄 통조림 부대찌개
"동원 참치 85g 2종 (라이트스탠다드10,고추5)+리챔 200g x 3개",참치/연어통조림,,,,,,,,,"85, 200","g, g","2, 3",", 개",28900,5,16,,,하림 IFF 한입쏙 닭안심 블랙페퍼 800g 2봉
동원참치 튜나페 고소마요 129g (스프레드 100g+아이비 29g),참치/연어통조림,,,,,,,,,"129, 100, 29","g, g, g",", , ",", , ",3280,4.8,16,,,스팸 클래식 200g x5개+스팸 라이트 200g x5개
동원 자연산꽁치 300g x 12캔,고등어/꽁치통조림,,,,,,,,,300,g,12,캔,42000,5,16,,,[사조대림] 닭가슴살 네모나 블랙페퍼 80g X 20개
동원 런천미트 200g x 10캔,햄/닭가슴살,,,,,,,,,200,g,10,캔,20900,5,16,,,[사조대림] 닭가슴살 네모나 오리지널 80g X 20개
