상품명,3차 카테고리,식품유형,용도,가격,평점,리뷰 수,중량 수치,중량 단위,묶음수량
동원 양반 캔볶음김치 160g x 20캔,반찬/기타통조림,반찬,반찬,36600,5.0,32,160.0,g,
동원 한입골뱅이 400g x 10캔,골뱅이/수산통조림,통조림,안주/반찬,84800,5.0,31,400.0,g,
동원 떡볶이의신 짜장떡볶이 385g (2인분),떡볶이/떡류,떡류,간식,4980,4.7,31,385.0,g,
동원 양반 야채죽 287g x 12개,죽/스프,즉석조리식품,간편식사,19900,5.0,31,287.0,g,
동원참치 DHA 150g,참치/연어통조림,통조림,반찬/주재료,2800,5.0,30,150.0,g,
동원참치 김치찌개용 150g x 20캔,참치/연어통조림,통조림,반찬/주재료,50000,5.0,30,150.0,g,
동원 자연산골뱅이 230g x 3캔,골뱅이/수산통조림,통조림,안주/반찬,17940,5.0,30,230.0,g,
동원 저스트 노슈가 황도 슬라이스 400g,과일/옥수수/팥,통조림,간식/요리재료,2580,4.6,30,400.0,g,
동원참치 맛참 고소참기름 135gx10캔 + (증정)라이트스탠다드 참치 135gx2캔,참치/연어통조림,통조림,반찬/주재료,25000,4.9,29,135.0,"g, g",
동원 김치찌개용 꽁치 300g x 3캔,고등어/꽁치통조림,통조림,반찬,12600,4.7,29,300.0,g,
동원 화끈한 골뱅이 400g,골뱅이/수산통조림,통조림,안주/반찬,9280,4.9,29,400.0,g,
동원 양반 나주식 곰탕 460g (1~2인분) x 20개,국/탕/찌개,즉석조리식품,간편식사,38000,5.0,29,460.0,g,
동원 양반 들깨닭죽 420g x 10개,죽/스프,즉석조리식품,간편식사,28900,4.9,29,420.0,g,
동원 양반 들깨닭죽 420g,죽/스프,즉석조리식품,간편식사,3400,4.7,29,420.0,g,
동원참치 살코기135gx8캔 + 맛참 고소참기름 135gx4캔,참치/연어통조림,통조림,반찬/주재료,26400,4.8,28,135.0,"g, g",
동원참치 고추참치 250g x 3캔,참치/연어통조림,통조림,반찬/주재료,10800,4.9,28,250.0,g,
[동원선물세트] 참치 T12호,참치/연어통조림,통조림,반찬/주재료,36900,5.0,28,,,
동원참치 DHA 250g x 15캔,참치/연어통조림,통조림,반찬/주재료,49500,5.0,28,250.0,g,
동원참치 맛참 매콤참기름 135gx10캔 + (증정)라이트스탠다드 참치 135gx2캔,참치/연어통조림,통조림,반찬/주재료,25000,4.8,28,135.0,"g, g",
동원참치 동원맛참 매콤참기름 135g x 10캔,참치/연어통조림,통조림,반찬/주재료,25000,4.9,28,135.0,g,
[참치24캔] 동원참치 살코기 85gx12캔+고추참치 100gx12캔,참치/연어통조림,통조림,반찬/주재료,30000,5.0,28,85.0,"g, g",
동원 꽁치 230g,고등어/꽁치통조림,통조림,반찬,4000,4.9,28,230.0,g,
동원 저스트 노슈가 파인애플 425g,과일/옥수수/팥,통조림,간식/요리재료,2980,4.8,28,425.0,g,
동원 양반 진국 사골곰탕 500g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,4450,5.0,28,500.0,g,
동원 양반 참치죽 287g,죽/스프,즉석조리식품,간편식사,2100,5.0,28,287.0,g,
[전통소스 강자] 비비드키친 저칼로리 토마토케첩 280g+머스타드소스 280g+바베큐소스 280g,기타양념,양념,조미료,9900,5.0,28,280.0,"g, g, g",
동원참치 콘참치 85g,참치/연어통조림,통조림,반찬/주재료,1800,5.0,27,85.0,g,
동원 런천미트 340g,햄/닭가슴살,가공육,반찬/주재료,3500,4.9,27,340.0,g,
동원 떡볶이의신 더매운 컵떡볶이 160g,떡볶이/떡류,떡류,간식,2700,4.7,27,160.0,g,
동원참치 매운고추참치 150g x 20캔,참치/연어통조림,통조림,반찬/주재료,50000,5.0,26,150.0,g,
동원 화끈한골뱅이 140g,골뱅이/수산통조림,통조림,안주/반찬,3300,4.9,26,140.0,g,
동원 자연산왕골뱅이 400g x 5캔,골뱅이/수산통조림,통조림,안주/반찬,43900,5.0,26,400.0,g,
동원참치 포도씨유 150g,참치/연어통조림,통조림,반찬/주재료,2800,4.9,25,150.0,g,
동원참치 루피는 참치마요 100g x 10캔,참치/연어통조림,통조림,반찬/주재료,20000,4.9,25,100.0,g,
동원 자연산왕골뱅이 400g x 10캔,골뱅이/수산통조림,통조림,안주/반찬,84800,5.0,25,400.0,g,
동원 양반 진국사골곰탕 300g (1인분),국/탕/찌개,즉석조리식품,간편식사,1500,5.0,25,300.0,g,
동원참치 라이트스탠다드 85g x 15캔+150g x 5캔,참치/연어통조림,통조림,반찬/주재료,35000,5.0,24,85.0,"g, g",
동원맛참 마요참기름 135gX5캔,참치/연어통조림,통조림,반찬/주재료,12000,4.9,24,135.0,g,
[4%적립금] 동원 자연산골뱅이 230g x 24캔(1박스),골뱅이/수산통조림,통조림,안주/반찬,109000,5.0,24,230.0,g,
동원 리챔 더블라이트 200g x 3캔,햄/닭가슴살,가공육,반찬/주재료,8900,4.9,24,200.0,g,
동원 양반 수라 도가니설렁탕 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,14600,4.9,24,460.0,g,
[1+1] 동원 프리미엄 동원참치액 900g,고춧가루/액젓,양념,조미료,22980,5.0,24,900.0,g,
동원참치 DHA 150g x 5캔,참치/연어통조림,통조림,반찬/주재료,13500,5.0,23,150.0,g,
동원참치 야채참치 150g x 20캔,참치/연어통조림,통조림,반찬/주재료,50000,5.0,23,150.0,g,
동원참치 동원맛참 고소참기름 135g,참치/연어통조림,통조림,반찬/주재료,2500,4.9,23,135.0,g,
동원 양반 쇠고기죽 420g x 20개,죽/스프,즉석조리식품,간편식사,46900,5.0,23,420.0,g,
동원 초밥의달인 롤유부초밥(새콤한맛) 254g,아이반찬,반찬,반찬,5200,4.8,23,254.0,g,
[4%적립금] 동원참치 DHA 250g x 36개(1박스),참치/연어통조림,통조림,반찬/주재료,115000,5.0,22,250.0,g,
동원참치 카레참치 90g,참치/연어통조림,통조림,반찬/주재료,2000,5.0,22,90.0,g,
동원 한입골뱅이 400g,골뱅이/수산통조림,통조림,안주/반찬,9280,4.9,22,400.0,g,
[10%적립]동원 리챔 순닭가슴살 135g x 16개,햄/닭가슴살,가공육,반찬/주재료,33900,4.9,22,135.0,g,
동원 양반 수라 통다리 삼계탕 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,5980,5.0,22,460.0,g,
동원 양반 전복죽 420g+쇠고기죽 420g+밤단팥죽 420g 2개씩 총 6개,죽/스프,즉석조리식품,간편식사,20900,4.7,22,420.0,"g, g, g",
동원 양반 참치죽 420g,죽/스프,즉석조리식품,간편식사,3200,4.8,22,420.0,g,
동원홈푸드 비비드키친 저당 쌈장소스 300g,간장/고추장/된장/쌈장,장류,조미료,5480,5.0,22,300.0,g,
동원참치 루피는 참치마요 100g x 3캔,참치/연어통조림,통조림,반찬/주재료,5300,5.0,21,100.0,g,
"동원참치 맛참 매콤참기름 90gx10개 + 135gx4개, 총 14캔",참치/연어통조림,통조림,반찬/주재료,25000,4.9,21,90.0,"g, g",
동원 고등어 300g,고등어/꽁치통조림,통조림,반찬,2800,4.9,21,300.0,g,
동원 을지로골뱅이 & 진미채 300g / 특제간장소스,골뱅이/수산통조림,통조림,안주/반찬,6980,5.0,21,300.0,g,
동원 자연산골뱅이 300g x 3캔,골뱅이/수산통조림,통조림,안주/반찬,19800,4.9,21,300.0,g,
동원 Dole 후르츠칵테일 432g x 12캔(1/2박스),과일/옥수수/팥,통조림,간식/요리재료,30000,4.8,21,432.0,g,
동원 저스트 노슈가 스위트콘 340g x 6캔,과일/옥수수/팥,통조림,간식/요리재료,10200,4.8,21,340.0,g,
동원 양반 보양 삼계탕 900g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,45500,5.0,21,900.0,g,
동원 양반 한우사골시래기국 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,19300,4.8,21,460.0,g,
동원참치 마일드참치 200g,참치/연어통조림,통조림,반찬/주재료,3200,4.9,20,200.0,g,
"동원참치 맛참 고소참기름 90gx10개 + 135gx4개, 총 14캔",참치/연어통조림,통조림,반찬/주재료,25000,4.9,19,90.0,"g, g",
동원 번데기 130g,골뱅이/수산통조림,통조림,안주/반찬,1480,4.9,19,130.0,g,
동원 Dole 파인애플 432g x 3캔,과일/옥수수/팥,통조림,간식/요리재료,8100,4.7,19,432.0,g,
동원 새콤달콤 도톰쫄깃 삼각유부초밥 340g(4인용) x 2개,아이반찬,반찬,반찬,8900,4.9,19,340.0,g,
동원참치 고추참치 250g,참치/연어통조림,통조림,반찬/주재료,3700,4.8,18,250.0,g,
동원참치 튜나페 고소마요 129g(스프레드 100g+아이비 29g) x 5개,참치/연어통조림,통조림,반찬/주재료,16400,4.8,18,129.0,"g, g, g",
"[체험팩] 동원참치 가미참치 90g 3종(불/짜장/카레) 각 3개, 총 9개",참치/연어통조림,통조림,반찬/주재료,15600,5.0,18,90.0,g,
동원참치 불참치 90g,참치/연어통조림,통조림,반찬/주재료,2380,4.9,18,90.0,g,
동원참치 야채참치 90gx10캔,참치/연어통조림,통조림,반찬/주재료,20000,5.0,18,90.0,g,
양반 나주식 곰탕 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,6450,4.9,18,460.0,g,
동원 양반 영양닭죽 285g,죽/스프,즉석조리식품,간편식사,2200,4.9,18,285.0,g,
[동원선물세트] 진호,참치/연어통조림,통조림,반찬/주재료,80300,4.9,17,,,
동원 자연산꽁치 300g x 3캔,고등어/꽁치통조림,통조림,반찬,11300,4.9,17,300.0,g,
동원 한입 골뱅이 400g x 5캔,골뱅이/수산통조림,통조림,안주/반찬,47900,4.9,17,400.0,g,
동원 양반 캔김치 160g x 20캔,반찬/기타통조림,반찬,반찬,36600,5.0,17,160.0,g,
동원 떡볶이의신 우리쌀 국물떡볶이 422g(2인) x 2개,떡볶이/떡류,떡류,간식,8900,4.8,17,422.0,g,
동원 양반 백합죽 420g,죽/스프,즉석조리식품,간편식사,3300,4.8,17,420.0,g,
동원참치 DHA 150g x 20캔,참치/연어통조림,통조림,반찬/주재료,50000,4.9,16,150.0,g,
"동원 참치 85g 2종 (라이트스탠다드10,고추5)+리챔 200g x 3개",참치/연어통조림,통조림,반찬/주재료,28900,5.0,16,85.0,"g, g",
동원참치 튜나페 고소마요 129g (스프레드 100g+아이비 29g),참치/연어통조림,통조림,반찬/주재료,3280,4.8,16,129.0,"g, g, g",
동원 자연산꽁치 300g x 12캔,고등어/꽁치통조림,통조림,반찬,42000,5.0,16,300.0,g,
동원 런천미트 200g x 10캔,햄/닭가슴살,가공육,반찬/주재료,20900,5.0,16,200.0,g,
"동원 참치 85g 2종 (라이트스탠다드10,고추5)+리챔 200g x 3개",햄/닭가슴살,가공육,반찬/주재료,28900,5.0,16,85.0,"g, g",
동원 저스트 노슈가 후르츠칵테일 425g,과일/옥수수/팥,통조림,간식/요리재료,2980,4.9,16,425.0,g,
동원 양반 캔김치 160g x 5캔,반찬/기타통조림,반찬,반찬,9500,5.0,16,160.0,g,
동원 양반 수라 돼지고기 김치찌개 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,24000,4.9,16,460.0,g,
동원 양반 수라 돼지고기 김치찌개 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,15000,4.8,16,460.0,g,
동원 양반 참치죽 420g x 10개,죽/스프,즉석조리식품,간편식사,24900,4.9,16,420.0,g,
동원 초밥의달인 큰사각유부초밥 189g,아이반찬,반찬,반찬,3300,5.0,16,189.0,g,
동원 초밥의달인 롤유부초밥(새콤한맛) 254g x 2개,아이반찬,반찬,반찬,9900,4.9,16,254.0,g,
동원참치 스프레드 고소마요 100gx4입,참치/연어통조림,통조림,반찬/주재료,6400,4.8,15,100.0,g,
동원 고추참치 90g x 20캔,참치/연어통조림,통조림,반찬/주재료,32000,5.0,15,90.0,g,
[순진500] 동원 참치액 500g 순+진,참치/연어통조림,통조림,반찬/주재료,7980,4.9,15,500.0,g,
동원 고등어 300g x 9캔,고등어/꽁치통조림,통조림,반찬,18900,5.0,15,300.0,g,
동원 자연산왕골뱅이 400g x 2캔,골뱅이/수산통조림,통조림,안주/반찬,18200,4.5,15,400.0,g,
동원 번데기 130gx6캔,골뱅이/수산통조림,통조림,안주/반찬,8300,4.9,15,130.0,g,
동원 리챔 더블라이트 200g x 12캔,햄/닭가슴살,가공육,반찬/주재료,32400,4.9,15,200.0,g,
동원 지중해 황도 복숭아 820g x 3캔,과일/옥수수/팥,통조림,간식/요리재료,10800,5.0,15,820.0,g,
동원 미니파인애플 234g x 12캔(1/2박스),과일/옥수수/팥,통조림,간식/요리재료,20000,5.0,15,234.0,g,
동원 국산고구마당면 400g,파스타/생면/건면/기타 면,면류,주식,5900,4.9,15,400.0,g,
동원 양반 수라 한우사골설렁탕 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,24000,5.0,15,460.0,g,
동원 양반 보양 삼계탕 900g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,9980,4.8,15,900.0,g,
동원 양반 참치죽 420g x 4개,죽/스프,즉석조리식품,간편식사,10900,5.0,15,420.0,g,
동원 양반 호박죽 285g x 12개 + 밤단팥죽 285g x 12개,죽/스프,즉석조리식품,간편식사,37900,5.0,15,285.0,"g, g",
[순진900] 동원 참치액 900g 순+진,고춧가루/액젓,양념,조미료,12980,4.9,15,900.0,g,
동원참치 콘참치 85g x 3캔,참치/연어통조림,통조림,반찬/주재료,5100,4.8,14,85.0,g,
동원참치 김치찌개용 250g x 15캔,참치/연어통조림,통조림,반찬/주재료,51000,5.0,14,250.0,g,
동원 번데기 130gx12캔,골뱅이/수산통조림,통조림,안주/반찬,15400,4.9,14,130.0,g,
[4%적립금] 동원 런천미트 340g x 24개(1박스),햄/닭가슴살,가공육,반찬/주재료,56000,5.0,14,340.0,g,
동원 리챔 순살꼬꼬 200g x 12개 / 닭가슴살햄,햄/닭가슴살,가공육,반찬/주재료,32400,5.0,14,200.0,g,
동원 미니파인애플 234g,과일/옥수수/팥,통조림,간식/요리재료,2000,4.6,14,234.0,g,
동원 저스트 노슈가 스위트콘 340g x 12캔,과일/옥수수/팥,통조림,간식/요리재료,19200,4.9,14,340.0,g,
동원 양반 캔갓김치 160g,반찬/기타통조림,반찬,반찬,2000,4.6,14,160.0,g,
[1+1] 동원 프리미엄 동원참치액 500g,고춧가루/액젓,양념,조미료,14980,4.7,14,500.0,g,
동원 화끈한골뱅이 140g x 5캔,골뱅이/수산통조림,통조림,안주/반찬,16900,4.9,13,140.0,g,
[4%적립금] 동원 번데기 130gx48캔(1박스),골뱅이/수산통조림,통조림,안주/반찬,50000,4.7,13,130.0,g,
동원 떡볶이의신 우리쌀 국물떡볶이 422g(2인),떡볶이/떡류,떡류,간식,4980,4.9,13,422.0,g,
[4%적립금] 동원 단호박죽 285g x 24개입 x 3박스,죽/스프,즉석조리식품,간편식사,102300,5.0,13,285.0,g,
동원 리챔 순닭가슴살 135g x 4개,햄/닭가슴살,가공육,반찬/주재료,15900,4.8,12,135.0,g,
동원 저스트 노슈가 황도 2절 400g,과일/옥수수/팥,통조림,간식/요리재료,2580,4.8,12,400.0,g,
동원 Dole 후르츠칵테일 432g x 3캔,과일/옥수수/팥,통조림,간식/요리재료,8100,4.7,12,432.0,g,
동원 양반 수라 통다리 닭볶음탕 490g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,25900,4.8,12,490.0,g,
동원 양반 수라 도가니설렁탕 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4900,4.8,12,460.0,g,
동원 양반 백합죽 420g x 20개,죽/스프,즉석조리식품,간편식사,46900,5.0,12,420.0,g,
동원 양반 밤단팥죽 420g x 20개,죽/스프,즉석조리식품,간편식사,46900,5.0,12,420.0,g,
동원참치 DHA 150g x 3캔,참치/연어통조림,통조림,반찬/주재료,8200,5.0,11,150.0,g,
동원참치 마일드참치 200g x 15캔,참치/연어통조림,통조림,반찬/주재료,44250,5.0,11,200.0,g,
동원참치 콘참치 85g x 5캔,참치/연어통조림,통조림,반찬/주재료,8250,4.8,11,85.0,g,
동원참치 김치찌개용 250g x 5캔,참치/연어통조림,통조림,반찬/주재료,18900,5.0,11,250.0,g,
동원참치 살코기 인 워터 100g,참치/연어통조림,통조림,반찬/주재료,2400,4.9,11,100.0,g,
동원참치 포도씨유 150gx10캔,참치/연어통조림,통조림,반찬/주재료,27000,5.0,11,150.0,g,
동원 자연산꽁치 300g x 9캔,고등어/꽁치통조림,통조림,반찬,33400,5.0,11,300.0,g,
동원 양반 진국 사골곰탕 300g (1인분) x 10개,국/탕/찌개,즉석조리식품,간편식사,13500,5.0,11,300.0,g,
동원 양반 수라 한우사골곰탕 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,6540,4.9,11,460.0,g,
동원 양반 수라 차돌된장찌개 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,15000,5.0,11,460.0,g,
동원 양반 수라 차돌된장찌개 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,5500,4.9,11,460.0,g,
동원참치 살코기 인 워터 100g x 3캔,참치/연어통조림,통조림,반찬/주재료,7200,5.0,10,100.0,g,
동원참치 고추참치 85g x 60캔(1박스),참치/연어통조림,통조림,반찬/주재료,91200,5.0,10,85.0,g,
동원참치 스프레드 갈릭마요 100g,참치/연어통조림,통조림,반찬/주재료,2000,4.8,10,100.0,g,
동원 꽁치 230g x 9캔,고등어/꽁치통조림,통조림,반찬,27000,4.8,10,230.0,g,
동원 자연산골뱅이 매실청 140g x 5캔,골뱅이/수산통조림,통조림,안주/반찬,16900,5.0,10,140.0,g,
동원 Dole 후르츠칵테일 432g x 6캔,과일/옥수수/팥,통조림,간식/요리재료,16000,4.9,10,432.0,g,
동원 저스트 노슈가 황도 슬라이스 400g x 6캔,과일/옥수수/팥,통조림,간식/요리재료,16200,4.5,10,400.0,g,
동원 저스트 노슈가 파인애플 822g,과일/옥수수/팥,통조림,간식/요리재료,5480,4.9,10,822.0,g,
동원 양반 캔갓김치 160g x 5캔,반찬/기타통조림,반찬,반찬,9500,4.9,10,160.0,g,
동원 양반 한우사골시래기국 460g x (1~2인분) 3개,국/탕/찌개,즉석조리식품,간편식사,12000,5.0,10,460.0,g,
동원 양반 수라 통다리 닭볶음탕 490g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,5900,4.8,10,490.0,g,
동원 양반 전복죽 285g x 6개+쇠고기죽 287g x 6개,죽/스프,즉석조리식품,간편식사,23600,5.0,10,285.0,"g, g",
동원 양반 전통잣죽 285g,죽/스프,즉석조리식품,간편식사,2500,4.7,10,285.0,g,
동원 양반 버섯 야채죽 420g x 20개,죽/스프,즉석조리식품,간편식사,46900,4.0,10,420.0,g,
동원 양반 쇠고기죽 287g 12개 + 야채죽 287g 12개,죽/스프,즉석조리식품,간편식사,40900,5.0,10,287.0,"g, g",
[고기에 좋은] 비비드키친 저칼로리 데리야끼소스 285g+숯불매콤소스 290g+바베큐소스 280g,기타양념,양념,조미료,10500,5.0,10,285.0,"g, g, g",
동원홈푸드 비비드키친 알룰로스 510g,올리고당/물엿/조청/꿀,당류,요리재료,8580,4.9,10,510.0,g,
[4%적립금] 동원 빵가루 1kg x 8개(1박스),부침가루/튀김가루/빵가루,가루류,요리재료,28000,5.0,10,1.0,kg,
동원참치 마일드참치 200gx5캔,참치/연어통조림,통조림,반찬/주재료,15000,5.0,9,200.0,g,
동원 리챔 더블라이트 120g x 12캔,햄/닭가슴살,가공육,반찬/주재료,25200,4.7,9,120.0,g,
동원 런천미트 340g x 10캔,햄/닭가슴살,가공육,반찬/주재료,30900,5.0,9,340.0,g,
동원 Dole 후르츠칵테일 432g x 24캔(1박스),과일/옥수수/팥,통조림,간식/요리재료,55000,5.0,9,432.0,g,
동원 양반 수라 한우사골설렁탕 460g (1~2인분) x 10개,국/탕/찌개,즉석조리식품,간편식사,44000,5.0,9,460.0,g,
동원 양반 전복죽 420g x 6개 + 쇠고기죽 420g x 6개,죽/스프,즉석조리식품,간편식사,33900,4.7,9,420.0,"g, g",
양반 전복죽 420g x 5개 +백합죽 420g x 5개,죽/스프,즉석조리식품,간편식사,28000,4.9,9,420.0,"g, g",
동원 재래식압착 참기름 160ml,간장/고추장/된장/쌈장,장류,조미료,4200,5.0,9,160.0,ml,
동원참치 뽀로로 키즈 100g x 3캔,참치/연어통조림,통조림,반찬/주재료,6000,4.4,8,100.0,g,
동원 리챔 더블라이트 200g x 6캔,햄/닭가슴살,가공육,반찬/주재료,17400,5.0,8,200.0,g,
동원 지중해 황도 복숭아 820g x 6캔(1/2박스),과일/옥수수/팥,통조림,간식/요리재료,21000,4.9,8,820.0,g,
[4%적립금] 동원 저스트 노슈가 황도 슬라이스 400g x 24캔(1박스),과일/옥수수/팥,통조림,간식/요리재료,52000,4.9,8,400.0,g,
동원 저스트 노슈가 파인애플 822gx6개,과일/옥수수/팥,통조림,간식/요리재료,26000,5.0,8,822.0,g,
양반 나주식 곰탕 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,2250,4.8,8,460.0,g,
동원 재래식압착 참기름 160ml x 2병,간장/고추장/된장/쌈장,장류,조미료,8000,5.0,8,160.0,ml,
동원 참치액 진 900g,고춧가루/액젓,양념,조미료,9980,5.0,8,900.0,g,
[2+2] 동원 참치액 진 500g,고춧가루/액젓,양념,조미료,15960,5.0,8,500.0,g,
동원 참치액 순 500gx3개,고춧가루/액젓,양념,조미료,17940,4.9,8,500.0,g,
동원 참치액 진 900g,동원참치액,소스,조미료,9980,5.0,8,900.0,g,
동원 참치액 순 500gx3개,동원참치액,소스,조미료,17940,4.9,8,500.0,g,
동원참치 DHA 250g x 3캔,참치/연어통조림,통조림,반찬/주재료,11700,5.0,7,250.0,g,
동원참치 마일드 150g x 5캔,참치/연어통조림,통조림,반찬/주재료,13500,5.0,7,150.0,g,
동원참치 마일드참치 200g x 3캔,참치/연어통조림,통조림,반찬/주재료,9300,5.0,7,200.0,g,
동원참치 스프레드 체다치즈 100g,참치/연어통조림,통조림,반찬/주재료,2000,5.0,7,100.0,g,
동원참치 야채참치 90g,참치/연어통조림,통조림,반찬/주재료,2000,5.0,7,90.0,g,
동원 김치찌개용 꽁치 300g x 6캔,고등어/꽁치통조림,통조림,반찬,25800,5.0,7,300.0,g,
동원 김치찌개용 꽁치 300g x 12캔,고등어/꽁치통조림,통조림,반찬,44400,5.0,7,300.0,g,
동원 자연산골뱅이탕(얼큰한국물) 300g,골뱅이/수산통조림,통조림,안주/반찬,4900,4.6,7,300.0,g,
동원 을지로골뱅이 & 진미채 300g x 10캔 / 특제간장소스,골뱅이/수산통조림,통조림,안주/반찬,62800,5.0,7,300.0,g,
동원 번데기 130gx24캔(1/2박스),골뱅이/수산통조림,통조림,안주/반찬,30000,4.7,7,130.0,g,
동원 자연산골뱅이 매실청 140g,골뱅이/수산통조림,통조림,안주/반찬,3880,4.6,7,140.0,g,
동원 을지로골뱅이 & 진미채 300g x 2캔 / 특제간장소스,골뱅이/수산통조림,통조림,안주/반찬,13400,4.7,7,300.0,g,
[4%적립금] 동원 화끈한골뱅이 400g x 24개(1박스),골뱅이/수산통조림,통조림,안주/반찬,149000,5.0,7,400.0,g,
동원 런천미트 200g x 4캔,햄/닭가슴살,가공육,반찬/주재료,8900,5.0,7,200.0,g,
동원 리챔 더블라이트 200g x 9캔,햄/닭가슴살,가공육,반찬/주재료,25600,5.0,7,200.0,g,
동원 리챔 순닭가슴살 135g x 8개,햄/닭가슴살,가공육,반찬/주재료,16800,4.9,7,135.0,g,
동원 미니파인코코 227g x 24캔(1박스),과일/옥수수/팥,통조림,간식/요리재료,37000,5.0,7,227.0,g,
동원 저스트 노슈가 파인애플 425gx24개(1박스),과일/옥수수/팥,통조림,간식/요리재료,55000,4.9,7,425.0,g,
동원 저스트 노슈가 후르츠칵테일 822g,과일/옥수수/팥,통조림,간식/요리재료,3980,4.9,7,822.0,g,
동원 저스트 노슈가 파인애플 425gx12개,과일/옥수수/팥,통조림,간식/요리재료,33900,5.0,7,425.0,g,
동원 양반 캔갓김치 160g x 10캔,반찬/기타통조림,반찬,반찬,18500,4.6,7,160.0,g,
양반 나주식 곰탕 460g (1~2인분) x 10개,국/탕/찌개,즉석조리식품,간편식사,20000,4.9,7,460.0,g,
동원 양반 수라 차돌된장찌개 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,24000,4.1,7,460.0,g,
동원 떡볶이의신 우리쌀 국물떡볶이 422g(2인) x 5개,떡볶이/떡류,떡류,간식,19900,5.0,7,422.0,g,
동원 떡볶이의신 더매운 컵떡볶이 160g x 10개,떡볶이/떡류,떡류,간식,23900,5.0,7,160.0,g,
양반 허니슈크림 붕어빵 300g x 2봉 + 앙버터 붕어빵 300g,생지/냉동반죽,냉동식품,요리재료,17900,4.6,7,300.0,"g, g",
[2+2] 동원 참치액 진 900g,고춧가루/액젓,양념,조미료,25960,5.0,7,900.0,g,
동원 참치액 순 900g,동원참치액,소스,조미료,9980,5.0,7,900.0,g,
"동원 국물의신 100g(4gx25입) 2종 각 1개(멸치,참치)",분말/액상조미료,조미료,조미료,13500,5.0,7,100.0,"g, g",
동원 참치액 순 900g,분말/액상조미료,조미료,조미료,9980,5.0,7,900.0,g,
동원 고추참치 90g,참치/연어통조림,통조림,반찬/주재료,1900,5.0,6,90.0,g,
동원맛참 마요참기름 135g 10캔,참치/연어통조림,통조림,반찬/주재료,27900,5.0,6,135.0,g,
동원 한입골뱅이 400g x 2캔,골뱅이/수산통조림,통조림,안주/반찬,18200,4.8,6,400.0,g,
동원 자연산골뱅이 400g x 2캔,골뱅이/수산통조림,통조림,안주/반찬,18200,4.7,6,400.0,g,
동원 리챔 순닭가슴살 135g x 12개,햄/닭가슴살,가공육,반찬/주재료,24000,5.0,6,135.0,g,
동원 리챔 340g x 6캔,햄/닭가슴살,가공육,반찬/주재료,25500,4.8,6,340.0,g,
동원 리챔 더블라이트 120g x 6캔,햄/닭가슴살,가공육,반찬/주재료,13200,4.7,6,120.0,g,
동원 리챔 더블라이트 200g,햄/닭가슴살,가공육,반찬/주재료,3000,5.0,6,200.0,g,
동원 리챔 더블라이트 120g x 3캔,햄/닭가슴살,가공육,반찬/주재료,6900,5.0,6,120.0,g,
[2%적립금] 동원 지중해 황도 복숭아 820g,과일/옥수수/팥,통조림,간식/요리재료,3400,4.2,6,820.0,g,
동원 저스트 노슈가 후르츠칵테일 822gx6개,과일/옥수수/팥,통조림,간식/요리재료,22900,5.0,6,822.0,g,
[4%적립금] 동원 저스트 노슈가 파인애플 425gx48개(2박스),과일/옥수수/팥,통조림,간식/요리재료,95000,5.0,6,425.0,g,
동원 양반 수라 통다리 닭볶음탕 490g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,15900,4.7,6,490.0,g,
동원 떡볶이의신 우리쌀 로제떡볶이 360g(2인),떡볶이/떡류,떡류,간식,4980,4.3,6,360.0,g,
[4%적립금] 동원 양반 들깨닭죽 420g x 20개입 x 3박스,죽/스프,즉석조리식품,간편식사,130000,5.0,6,420.0,g,
동원 양반 전복죽 287g x 12개 + 쇠고기죽 287g x 12개,죽/스프,즉석조리식품,간편식사,44900,5.0,6,287.0,"g, g",
양반 전복죽 420g x 5개 + 쇠고기죽 420g x 5개,죽/스프,즉석조리식품,간편식사,28000,4.8,6,420.0,"g, g",
동원참치 스프레드 갈릭마요 100gx10캔,참치/연어통조림,통조림,반찬/주재료,20000,3.6,5,100.0,g,
동원참치 살코기 라이트스탠다드 135gx3캔,참치/연어통조림,통조림,반찬/주재료,7000,5.0,5,135.0,g,
동원 꽁치 230g x 12캔,고등어/꽁치통조림,통조림,반찬,33600,5.0,5,230.0,g,
